"Symptom Group","Symptom","Cancer Group","Cancer Site","N_Men","% (95% CI)_Men","N_Women","% (95% CI)_Women"
"Lump/mass/lymph node","Lump/mass/lymph node - Unexplained lump suspicious of sarcoma (Men=106, Women=82)","Head and neck","Other head and neck","106","0.94 (0.17, 5.15)","82","1.22 (0.22, 6.59)"
"Lump/mass/lymph node","Lump/mass/lymph node - Unexplained lump suspicious of sarcoma (Men=106, Women=82)","Upper GI","Oesophagus","106","0.00 (0.00, 3.50)","82","0.00 (0.00, 4.48)"
"Lump/mass/lymph node","Lump/mass/lymph node - Unexplained lump suspicious of sarcoma (Men=106, Women=82)","Upper GI","Stomach","106","0.94 (0.17, 5.15)","82","0.00 (0.00, 4.48)"
"Lump/mass/lymph node","Lump/mass/lymph node - Unexplained lump suspicious of sarcoma (Men=106, Women=82)","Lower GI","Anal","106","0.00 (0.00, 3.50)","82","0.00 (0.00, 4.48)"
"Lump/mass/lymph node","Lump/mass/lymph node - Unexplained lump suspicious of sarcoma (Men=106, Women=82)","Lower GI","Colon","106","1.89 (0.52, 6.62)","82","1.22 (0.22, 6.59)"
"Lump/mass/lymph node","Lump/mass/lymph node - Unexplained lump suspicious of sarcoma (Men=106, Women=82)","Lower GI","Rectum","106","0.00 (0.00, 3.50)","82","0.00 (0.00, 4.48)"
"Lump/mass/lymph node","Lump/mass/lymph node - Unexplained lump suspicious of sarcoma (Men=106, Women=82)","Lower GI","Small intestine","106","0.00 (0.00, 3.50)","82","0.00 (0.00, 4.48)"
"Lump/mass/lymph node","Lump/mass/lymph node - Unexplained lump suspicious of sarcoma (Men=106, Women=82)","HPB","Liver","106","0.94 (0.17, 5.15)","82","0.00 (0.00, 4.48)"
"Lump/mass/lymph node","Lump/mass/lymph node - Unexplained lump suspicious of sarcoma (Men=106, Women=82)","HPB","Pancreas","106","0.00 (0.00, 3.50)","82","0.00 (0.00, 4.48)"
"Lump/mass/lymph node","Lump/mass/lymph node - Unexplained lump suspicious of sarcoma (Men=106, Women=82)","HPB","Other HPB","106","0.00 (0.00, 3.50)","82","0.00 (0.00, 4.48)"
"Lump/mass/lymph node","Lump/mass/lymph node - Unexplained lump suspicious of sarcoma (Men=106, Women=82)","Respiratory","Lung","106","3.77 (1.48, 9.30)","82","1.22 (0.22, 6.59)"
"Lump/mass/lymph node","Lump/mass/lymph node - Unexplained lump suspicious of sarcoma (Men=106, Women=82)","Respiratory","Mesothelioma","106","0.00 (0.00, 3.50)","82","0.00 (0.00, 4.48)"
"Lump/mass/lymph node","Lump/mass/lymph node - Unexplained lump suspicious of sarcoma (Men=106, Women=82)","Urological","Bladder","106","0.00 (0.00, 3.50)","82","0.00 (0.00, 4.48)"
"Lump/mass/lymph node","Lump/mass/lymph node - Unexplained lump suspicious of sarcoma (Men=106, Women=82)","Urological","Kidney","106","1.89 (0.52, 6.62)","82","0.00 (0.00, 4.48)"
"Lump/mass/lymph node","Lump/mass/lymph node - Unexplained lump suspicious of sarcoma (Men=106, Women=82)","Urological","Ureteric and other urinary","106","0.00 (0.00, 3.50)","82","0.00 (0.00, 4.48)"
"Lump/mass/lymph node","Lump/mass/lymph node - Unexplained lump suspicious of sarcoma (Men=106, Women=82)","Haematological","Acute leukaemia","106","0.00 (0.00, 3.50)","82","0.00 (0.00, 4.48)"
"Lump/mass/lymph node","Lump/mass/lymph node - Unexplained lump suspicious of sarcoma (Men=106, Women=82)","Haematological","Chronic lymphocytic leukaemia","106","1.89 (0.52, 6.62)","82","0.00 (0.00, 4.48)"
"Lump/mass/lymph node","Lump/mass/lymph node - Unexplained lump suspicious of sarcoma (Men=106, Women=82)","Haematological","Hodgkin lymphoma","106","0.94 (0.17, 5.15)","82","1.22 (0.22, 6.59)"
"Lump/mass/lymph node","Lump/mass/lymph node - Unexplained lump suspicious of sarcoma (Men=106, Women=82)","Haematological","Multiple myeloma","106","0.00 (0.00, 3.50)","82","1.22 (0.22, 6.59)"
"Lump/mass/lymph node","Lump/mass/lymph node - Unexplained lump suspicious of sarcoma (Men=106, Women=82)","Haematological","Non-Hodgkin lymphoma","106","15.1 (9.51, 23.1)","82","15.9 (9.51, 25.3)"
"Lump/mass/lymph node","Lump/mass/lymph node - Unexplained lump suspicious of sarcoma (Men=106, Women=82)","Haematological","Other haematological","106","0.94 (0.17, 5.15)","82","1.22 (0.22, 6.59)"
"Lump/mass/lymph node","Lump/mass/lymph node - Unexplained lump suspicious of sarcoma (Men=106, Women=82)","CNS","CNS","106","0.00 (0.00, 3.50)","82","0.00 (0.00, 4.48)"
"Lump/mass/lymph node","Lump/mass/lymph node - Unexplained lump suspicious of sarcoma (Men=106, Women=82)","Sarcoma","Bone sarcoma","106","5.66 (2.62, 11.8)","82","1.22 (0.22, 6.59)"
"Lump/mass/lymph node","Lump/mass/lymph node - Unexplained lump suspicious of sarcoma (Men=106, Women=82)","Sarcoma","Connective and soft tissue sarcoma","106","56.6 (47.1, 65.6)","82","57.3 (46.5, 67.5)"
"Lump/mass/lymph node","Lump/mass/lymph node - Unexplained lump suspicious of sarcoma (Men=106, Women=82)","Skin","Melanoma","106","1.89 (0.52, 6.62)","82","7.32 (3.40, 15.1)"
"Lump/mass/lymph node","Lump/mass/lymph node - Unexplained lump suspicious of sarcoma (Men=106, Women=82)","Ocular","Ocular","106","0.00 (0.00, 3.50)","82","0.00 (0.00, 4.48)"
"Lump/mass/lymph node","Lump/mass/lymph node - Unexplained lump suspicious of sarcoma (Men=106, Women=82)","Breast","Breast","106","0.00 (0.00, 3.50)","82","1.22 (0.22, 6.59)"
"Lump/mass/lymph node","Lump/mass/lymph node - Unexplained lump suspicious of sarcoma (Men=106, Women=82)","Gynaecological","Cervix","106","-","82","0.00 (0.00, 4.48)"
"Lump/mass/lymph node","Lump/mass/lymph node - Unexplained lump suspicious of sarcoma (Men=106, Women=82)","Gynaecological","Ovary","106","-","82","1.22 (0.22, 6.59)"
"Lump/mass/lymph node","Lump/mass/lymph node - Unexplained lump suspicious of sarcoma (Men=106, Women=82)","Gynaecological","Uterus","106","-","82","0.00 (0.00, 4.48)"
"Lump/mass/lymph node","Lump/mass/lymph node - Unexplained lump suspicious of sarcoma (Men=106, Women=82)","Gynaecological","Vulva/Vagina","106","-","82","0.00 (0.00, 4.48)"
"Lump/mass/lymph node","Lump/mass/lymph node - Unexplained lump suspicious of sarcoma (Men=106, Women=82)","Prostate and other male organs","Penile","106","0.00 (0.00, 3.50)","82","-"
"Lump/mass/lymph node","Lump/mass/lymph node - Unexplained lump suspicious of sarcoma (Men=106, Women=82)","Prostate and other male organs","Prostate","106","0.94 (0.17, 5.15)","82","-"
"Lump/mass/lymph node","Lump/mass/lymph node - Unexplained lump suspicious of sarcoma (Men=106, Women=82)","Prostate and other male organs","Testicular","106","0.00 (0.00, 3.50)","82","-"
"Lump/mass/lymph node","Lump/mass/lymph node - Unexplained lump suspicious of sarcoma (Men=106, Women=82)","Other malignant neoplasms","Other malignant neoplasms","106","1.89 (0.52, 6.62)","82","2.44 (0.67, 8.46)"
"Lump/mass/lymph node","Lump/mass/lymph node - Unexplained lump suspicious of sarcoma (Men=106, Women=82)","Unknown primary","Unknown primary","106","1.89 (0.52, 6.62)","82","4.88 (1.91, 11.9)"
"Ulceration","Ulceration - Leukoplakia (Men=N<20, Women=N<20)","Head and neck","Larynx","N<20","-","N<20","-"
"Ulceration","Ulceration - Leukoplakia (Men=N<20, Women=N<20)","Head and neck","Oral cavity","N<20","-","N<20","-"
"Ulceration","Ulceration - Leukoplakia (Men=N<20, Women=N<20)","Head and neck","Oropharynx","N<20","-","N<20","-"
"Ulceration","Ulceration - Leukoplakia (Men=N<20, Women=N<20)","Head and neck","Thyroid","N<20","-","N<20","-"
"Ulceration","Ulceration - Leukoplakia (Men=N<20, Women=N<20)","Head and neck","Other head and neck","N<20","-","N<20","-"
"Ulceration","Ulceration - Leukoplakia (Men=N<20, Women=N<20)","Upper GI","Oesophagus","N<20","-","N<20","-"
"Ulceration","Ulceration - Leukoplakia (Men=N<20, Women=N<20)","Upper GI","Stomach","N<20","-","N<20","-"
"Ulceration","Ulceration - Leukoplakia (Men=N<20, Women=N<20)","Lower GI","Anal","N<20","-","N<20","-"
"Ulceration","Ulceration - Leukoplakia (Men=N<20, Women=N<20)","Lower GI","Colon","N<20","-","N<20","-"
"Ulceration","Ulceration - Leukoplakia (Men=N<20, Women=N<20)","Lower GI","Rectum","N<20","-","N<20","-"
"Ulceration","Ulceration - Leukoplakia (Men=N<20, Women=N<20)","Lower GI","Small intestine","N<20","-","N<20","-"
"Ulceration","Ulceration - Leukoplakia (Men=N<20, Women=N<20)","HPB","Liver","N<20","-","N<20","-"
"Ulceration","Ulceration - Leukoplakia (Men=N<20, Women=N<20)","HPB","Pancreas","N<20","-","N<20","-"
"Ulceration","Ulceration - Leukoplakia (Men=N<20, Women=N<20)","HPB","Other HPB","N<20","-","N<20","-"
"Ulceration","Ulceration - Leukoplakia (Men=N<20, Women=N<20)","Respiratory","Lung","N<20","-","N<20","-"
"Ulceration","Ulceration - Leukoplakia (Men=N<20, Women=N<20)","Respiratory","Mesothelioma","N<20","-","N<20","-"
"Ulceration","Ulceration - Leukoplakia (Men=N<20, Women=N<20)","Urological","Bladder","N<20","-","N<20","-"
"Ulceration","Ulceration - Leukoplakia (Men=N<20, Women=N<20)","Urological","Kidney","N<20","-","N<20","-"
"Ulceration","Ulceration - Leukoplakia (Men=N<20, Women=N<20)","Urological","Ureteric and other urinary","N<20","-","N<20","-"
"Ulceration","Ulceration - Leukoplakia (Men=N<20, Women=N<20)","Haematological","Acute leukaemia","N<20","-","N<20","-"
"Ulceration","Ulceration - Leukoplakia (Men=N<20, Women=N<20)","Haematological","Chronic lymphocytic leukaemia","N<20","-","N<20","-"
"Ulceration","Ulceration - Leukoplakia (Men=N<20, Women=N<20)","Haematological","Hodgkin lymphoma","N<20","-","N<20","-"
"Ulceration","Ulceration - Leukoplakia (Men=N<20, Women=N<20)","Haematological","Multiple myeloma","N<20","-","N<20","-"
"Ulceration","Ulceration - Leukoplakia (Men=N<20, Women=N<20)","Haematological","Non-Hodgkin lymphoma","N<20","-","N<20","-"
"Ulceration","Ulceration - Leukoplakia (Men=N<20, Women=N<20)","Haematological","Other haematological","N<20","-","N<20","-"
"Ulceration","Ulceration - Leukoplakia (Men=N<20, Women=N<20)","CNS","CNS","N<20","-","N<20","-"
"Ulceration","Ulceration - Leukoplakia (Men=N<20, Women=N<20)","Sarcoma","Bone sarcoma","N<20","-","N<20","-"
"Ulceration","Ulceration - Leukoplakia (Men=N<20, Women=N<20)","Sarcoma","Connective and soft tissue sarcoma","N<20","-","N<20","-"
"Ulceration","Ulceration - Leukoplakia (Men=N<20, Women=N<20)","Skin","Melanoma","N<20","-","N<20","-"
"Ulceration","Ulceration - Leukoplakia (Men=N<20, Women=N<20)","Ocular","Ocular","N<20","-","N<20","-"
"Ulceration","Ulceration - Leukoplakia (Men=N<20, Women=N<20)","Breast","Breast","N<20","-","N<20","-"
"Ulceration","Ulceration - Leukoplakia (Men=N<20, Women=N<20)","Gynaecological","Cervix","N<20","-","N<20","-"
"Ulceration","Ulceration - Leukoplakia (Men=N<20, Women=N<20)","Gynaecological","Ovary","N<20","-","N<20","-"
"Ulceration","Ulceration - Leukoplakia (Men=N<20, Women=N<20)","Gynaecological","Uterus","N<20","-","N<20","-"
"Ulceration","Ulceration - Leukoplakia (Men=N<20, Women=N<20)","Gynaecological","Vulva/Vagina","N<20","-","N<20","-"
"Ulceration","Ulceration - Leukoplakia (Men=N<20, Women=N<20)","Prostate and other male organs","Penile","N<20","-","N<20","-"
"Ulceration","Ulceration - Leukoplakia (Men=N<20, Women=N<20)","Prostate and other male organs","Prostate","N<20","-","N<20","-"
"Ulceration","Ulceration - Leukoplakia (Men=N<20, Women=N<20)","Prostate and other male organs","Testicular","N<20","-","N<20","-"
"Ulceration","Ulceration - Leukoplakia (Men=N<20, Women=N<20)","Other malignant neoplasms","Other malignant neoplasms","N<20","-","N<20","-"
"Ulceration","Ulceration - Leukoplakia (Men=N<20, Women=N<20)","Unknown primary","Unknown primary","N<20","-","N<20","-"
"Ulceration","Ulceration - Lip/oral cavity/tongue lump/mass (Men=198, Women=110)","Head and neck","Larynx","198","1.01 (0.28, 3.61)","110","0.00 (0.00, 3.37)"
"Ulceration","Ulceration - Lip/oral cavity/tongue lump/mass (Men=198, Women=110)","Head and neck","Oral cavity","198","50.0 (43.1, 56.9)","110","71.8 (62.8, 79.4)"
"Ulceration","Ulceration - Lip/oral cavity/tongue lump/mass (Men=198, Women=110)","Head and neck","Oropharynx","198","21.2 (16.1, 27.4)","110","7.27 (3.73, 13.7)"
"Ulceration","Ulceration - Lip/oral cavity/tongue lump/mass (Men=198, Women=110)","Head and neck","Thyroid","198","0.00 (0.00, 1.90)","110","0.91 (0.16, 4.97)"
"Ulceration","Ulceration - Lip/oral cavity/tongue lump/mass (Men=198, Women=110)","Head and neck","Other head and neck","198","13.6 (9.54, 19.1)","110","10.9 (6.35, 18.1)"
"Ulceration","Ulceration - Lip/oral cavity/tongue lump/mass (Men=198, Women=110)","Upper GI","Oesophagus","198","1.52 (0.52, 4.36)","110","0.00 (0.00, 3.37)"
"Ulceration","Ulceration - Lip/oral cavity/tongue lump/mass (Men=198, Women=110)","Upper GI","Stomach","198","0.00 (0.00, 1.90)","110","0.00 (0.00, 3.37)"
"Ulceration","Ulceration - Lip/oral cavity/tongue lump/mass (Men=198, Women=110)","Lower GI","Anal","198","0.00 (0.00, 1.90)","110","0.00 (0.00, 3.37)"
"Ulceration","Ulceration - Lip/oral cavity/tongue lump/mass (Men=198, Women=110)","Lower GI","Colon","198","0.00 (0.00, 1.90)","110","0.91 (0.16, 4.97)"
"Ulceration","Ulceration - Lip/oral cavity/tongue lump/mass (Men=198, Women=110)","Lower GI","Rectum","198","0.00 (0.00, 1.90)","110","0.00 (0.00, 3.37)"
"Ulceration","Ulceration - Lip/oral cavity/tongue lump/mass (Men=198, Women=110)","Lower GI","Small intestine","198","0.00 (0.00, 1.90)","110","0.00 (0.00, 3.37)"
"Ulceration","Ulceration - Lip/oral cavity/tongue lump/mass (Men=198, Women=110)","HPB","Liver","198","0.00 (0.00, 1.90)","110","0.00 (0.00, 3.37)"
"Ulceration","Ulceration - Lip/oral cavity/tongue lump/mass (Men=198, Women=110)","HPB","Pancreas","198","0.00 (0.00, 1.90)","110","0.00 (0.00, 3.37)"
"Ulceration","Ulceration - Lip/oral cavity/tongue lump/mass (Men=198, Women=110)","HPB","Other HPB","198","0.00 (0.00, 1.90)","110","0.00 (0.00, 3.37)"
"Ulceration","Ulceration - Lip/oral cavity/tongue lump/mass (Men=198, Women=110)","Respiratory","Lung","198","2.02 (0.79, 5.08)","110","0.00 (0.00, 3.37)"
"Ulceration","Ulceration - Lip/oral cavity/tongue lump/mass (Men=198, Women=110)","Respiratory","Mesothelioma","198","0.00 (0.00, 1.90)","110","0.00 (0.00, 3.37)"
"Ulceration","Ulceration - Lip/oral cavity/tongue lump/mass (Men=198, Women=110)","Urological","Bladder","198","0.00 (0.00, 1.90)","110","0.00 (0.00, 3.37)"
"Ulceration","Ulceration - Lip/oral cavity/tongue lump/mass (Men=198, Women=110)","Urological","Kidney","198","0.00 (0.00, 1.90)","110","0.00 (0.00, 3.37)"
"Ulceration","Ulceration - Lip/oral cavity/tongue lump/mass (Men=198, Women=110)","Urological","Ureteric and other urinary","198","0.00 (0.00, 1.90)","110","0.00 (0.00, 3.37)"
"Ulceration","Ulceration - Lip/oral cavity/tongue lump/mass (Men=198, Women=110)","Haematological","Acute leukaemia","198","0.00 (0.00, 1.90)","110","0.00 (0.00, 3.37)"
"Ulceration","Ulceration - Lip/oral cavity/tongue lump/mass (Men=198, Women=110)","Haematological","Chronic lymphocytic leukaemia","198","0.51 (0.09, 2.80)","110","0.00 (0.00, 3.37)"
"Ulceration","Ulceration - Lip/oral cavity/tongue lump/mass (Men=198, Women=110)","Haematological","Hodgkin lymphoma","198","0.00 (0.00, 1.90)","110","0.91 (0.16, 4.97)"
"Ulceration","Ulceration - Lip/oral cavity/tongue lump/mass (Men=198, Women=110)","Haematological","Multiple myeloma","198","0.00 (0.00, 1.90)","110","0.00 (0.00, 3.37)"
"Ulceration","Ulceration - Lip/oral cavity/tongue lump/mass (Men=198, Women=110)","Haematological","Non-Hodgkin lymphoma","198","6.06 (3.50, 10.3)","110","3.64 (1.42, 8.98)"
"Ulceration","Ulceration - Lip/oral cavity/tongue lump/mass (Men=198, Women=110)","Haematological","Other haematological","198","0.51 (0.09, 2.80)","110","0.00 (0.00, 3.37)"
"Ulceration","Ulceration - Lip/oral cavity/tongue lump/mass (Men=198, Women=110)","CNS","CNS","198","0.00 (0.00, 1.90)","110","0.00 (0.00, 3.37)"
"Ulceration","Ulceration - Lip/oral cavity/tongue lump/mass (Men=198, Women=110)","Sarcoma","Bone sarcoma","198","1.01 (0.28, 3.61)","110","0.00 (0.00, 3.37)"
"Ulceration","Ulceration - Lip/oral cavity/tongue lump/mass (Men=198, Women=110)","Sarcoma","Connective and soft tissue sarcoma","198","0.51 (0.09, 2.80)","110","1.82 (0.50, 6.39)"
"Ulceration","Ulceration - Lip/oral cavity/tongue lump/mass (Men=198, Women=110)","Skin","Melanoma","198","0.51 (0.09, 2.80)","110","0.00 (0.00, 3.37)"
"Ulceration","Ulceration - Lip/oral cavity/tongue lump/mass (Men=198, Women=110)","Ocular","Ocular","198","0.00 (0.00, 1.90)","110","0.00 (0.00, 3.37)"
"Ulceration","Ulceration - Lip/oral cavity/tongue lump/mass (Men=198, Women=110)","Breast","Breast","198","0.00 (0.00, 1.90)","110","0.00 (0.00, 3.37)"
"Ulceration","Ulceration - Lip/oral cavity/tongue lump/mass (Men=198, Women=110)","Gynaecological","Cervix","198","-","110","0.00 (0.00, 3.37)"
"Ulceration","Ulceration - Lip/oral cavity/tongue lump/mass (Men=198, Women=110)","Gynaecological","Ovary","198","-","110","0.00 (0.00, 3.37)"
"Ulceration","Ulceration - Lip/oral cavity/tongue lump/mass (Men=198, Women=110)","Gynaecological","Uterus","198","-","110","0.00 (0.00, 3.37)"
"Ulceration","Ulceration - Lip/oral cavity/tongue lump/mass (Men=198, Women=110)","Gynaecological","Vulva/Vagina","198","-","110","0.00 (0.00, 3.37)"
"Ulceration","Ulceration - Lip/oral cavity/tongue lump/mass (Men=198, Women=110)","Prostate and other male organs","Penile","198","0.00 (0.00, 1.90)","110","-"
"Ulceration","Ulceration - Lip/oral cavity/tongue lump/mass (Men=198, Women=110)","Prostate and other male organs","Prostate","198","1.01 (0.28, 3.61)","110","-"
"Ulceration","Ulceration - Lip/oral cavity/tongue lump/mass (Men=198, Women=110)","Prostate and other male organs","Testicular","198","0.00 (0.00, 1.90)","110","-"
"Ulceration","Ulceration - Lip/oral cavity/tongue lump/mass (Men=198, Women=110)","Other malignant neoplasms","Other malignant neoplasms","198","0.00 (0.00, 1.90)","110","0.91 (0.16, 4.97)"
"Ulceration","Ulceration - Lip/oral cavity/tongue lump/mass (Men=198, Women=110)","Unknown primary","Unknown primary","198","0.51 (0.09, 2.80)","110","0.91 (0.16, 4.97)"
"Ulceration","Ulceration - Lip/oral cavity/tongue ulcer (Men=104, Women=79)","Head and neck","Larynx","104","0.96 (0.17, 5.25)","79","0.00 (0.00, 4.64)"
"Ulceration","Ulceration - Lip/oral cavity/tongue ulcer (Men=104, Women=79)","Head and neck","Oral cavity","104","66.3 (56.8, 74.7)","79","69.6 (58.8, 78.7)"
"Ulceration","Ulceration - Lip/oral cavity/tongue ulcer (Men=104, Women=79)","Head and neck","Oropharynx","104","10.6 (6.01, 18.0)","79","8.86 (4.36, 17.2)"
"Ulceration","Ulceration - Lip/oral cavity/tongue ulcer (Men=104, Women=79)","Head and neck","Thyroid","104","0.00 (0.00, 3.56)","79","0.00 (0.00, 4.64)"
"Ulceration","Ulceration - Lip/oral cavity/tongue ulcer (Men=104, Women=79)","Head and neck","Other head and neck","104","9.62 (5.31, 16.8)","79","6.33 (2.73, 14.0)"
"Ulceration","Ulceration - Lip/oral cavity/tongue ulcer (Men=104, Women=79)","Upper GI","Oesophagus","104","0.00 (0.00, 3.56)","79","0.00 (0.00, 4.64)"
"Ulceration","Ulceration - Lip/oral cavity/tongue ulcer (Men=104, Women=79)","Upper GI","Stomach","104","0.00 (0.00, 3.56)","79","1.27 (0.22, 6.83)"
"Ulceration","Ulceration - Lip/oral cavity/tongue ulcer (Men=104, Women=79)","Lower GI","Anal","104","0.00 (0.00, 3.56)","79","0.00 (0.00, 4.64)"
"Ulceration","Ulceration - Lip/oral cavity/tongue ulcer (Men=104, Women=79)","Lower GI","Colon","104","0.96 (0.17, 5.25)","79","1.27 (0.22, 6.83)"
"Ulceration","Ulceration - Lip/oral cavity/tongue ulcer (Men=104, Women=79)","Lower GI","Rectum","104","0.00 (0.00, 3.56)","79","0.00 (0.00, 4.64)"
"Ulceration","Ulceration - Lip/oral cavity/tongue ulcer (Men=104, Women=79)","Lower GI","Small intestine","104","0.00 (0.00, 3.56)","79","0.00 (0.00, 4.64)"
"Ulceration","Ulceration - Lip/oral cavity/tongue ulcer (Men=104, Women=79)","HPB","Liver","104","0.00 (0.00, 3.56)","79","0.00 (0.00, 4.64)"
"Ulceration","Ulceration - Lip/oral cavity/tongue ulcer (Men=104, Women=79)","HPB","Pancreas","104","0.00 (0.00, 3.56)","79","0.00 (0.00, 4.64)"
"Ulceration","Ulceration - Lip/oral cavity/tongue ulcer (Men=104, Women=79)","HPB","Other HPB","104","0.00 (0.00, 3.56)","79","0.00 (0.00, 4.64)"
"Ulceration","Ulceration - Lip/oral cavity/tongue ulcer (Men=104, Women=79)","Respiratory","Lung","104","1.92 (0.53, 6.74)","79","2.53 (0.70, 8.77)"
"Ulceration","Ulceration - Lip/oral cavity/tongue ulcer (Men=104, Women=79)","Respiratory","Mesothelioma","104","0.96 (0.17, 5.25)","79","0.00 (0.00, 4.64)"
"Ulceration","Ulceration - Lip/oral cavity/tongue ulcer (Men=104, Women=79)","Urological","Bladder","104","0.00 (0.00, 3.56)","79","0.00 (0.00, 4.64)"
"Ulceration","Ulceration - Lip/oral cavity/tongue ulcer (Men=104, Women=79)","Urological","Kidney","104","0.00 (0.00, 3.56)","79","0.00 (0.00, 4.64)"
"Ulceration","Ulceration - Lip/oral cavity/tongue ulcer (Men=104, Women=79)","Urological","Ureteric and other urinary","104","0.00 (0.00, 3.56)","79","0.00 (0.00, 4.64)"
"Ulceration","Ulceration - Lip/oral cavity/tongue ulcer (Men=104, Women=79)","Haematological","Acute leukaemia","104","1.92 (0.53, 6.74)","79","1.27 (0.22, 6.83)"
"Ulceration","Ulceration - Lip/oral cavity/tongue ulcer (Men=104, Women=79)","Haematological","Chronic lymphocytic leukaemia","104","0.00 (0.00, 3.56)","79","0.00 (0.00, 4.64)"
"Ulceration","Ulceration - Lip/oral cavity/tongue ulcer (Men=104, Women=79)","Haematological","Hodgkin lymphoma","104","0.00 (0.00, 3.56)","79","0.00 (0.00, 4.64)"
"Ulceration","Ulceration - Lip/oral cavity/tongue ulcer (Men=104, Women=79)","Haematological","Multiple myeloma","104","0.96 (0.17, 5.25)","79","0.00 (0.00, 4.64)"
"Ulceration","Ulceration - Lip/oral cavity/tongue ulcer (Men=104, Women=79)","Haematological","Non-Hodgkin lymphoma","104","1.92 (0.53, 6.74)","79","2.53 (0.70, 8.77)"
"Ulceration","Ulceration - Lip/oral cavity/tongue ulcer (Men=104, Women=79)","Haematological","Other haematological","104","0.00 (0.00, 3.56)","79","2.53 (0.70, 8.77)"
"Ulceration","Ulceration - Lip/oral cavity/tongue ulcer (Men=104, Women=79)","CNS","CNS","104","0.00 (0.00, 3.56)","79","0.00 (0.00, 4.64)"
"Ulceration","Ulceration - Lip/oral cavity/tongue ulcer (Men=104, Women=79)","Sarcoma","Bone sarcoma","104","0.00 (0.00, 3.56)","79","0.00 (0.00, 4.64)"
"Ulceration","Ulceration - Lip/oral cavity/tongue ulcer (Men=104, Women=79)","Sarcoma","Connective and soft tissue sarcoma","104","0.00 (0.00, 3.56)","79","0.00 (0.00, 4.64)"
"Ulceration","Ulceration - Lip/oral cavity/tongue ulcer (Men=104, Women=79)","Skin","Melanoma","104","0.96 (0.17, 5.25)","79","2.53 (0.70, 8.77)"
"Ulceration","Ulceration - Lip/oral cavity/tongue ulcer (Men=104, Women=79)","Ocular","Ocular","104","0.00 (0.00, 3.56)","79","0.00 (0.00, 4.64)"
"Ulceration","Ulceration - Lip/oral cavity/tongue ulcer (Men=104, Women=79)","Breast","Breast","104","0.00 (0.00, 3.56)","79","0.00 (0.00, 4.64)"
"Ulceration","Ulceration - Lip/oral cavity/tongue ulcer (Men=104, Women=79)","Gynaecological","Cervix","104","-","79","0.00 (0.00, 4.64)"
"Ulceration","Ulceration - Lip/oral cavity/tongue ulcer (Men=104, Women=79)","Gynaecological","Ovary","104","-","79","1.27 (0.22, 6.83)"
"Ulceration","Ulceration - Lip/oral cavity/tongue ulcer (Men=104, Women=79)","Gynaecological","Uterus","104","-","79","0.00 (0.00, 4.64)"
"Ulceration","Ulceration - Lip/oral cavity/tongue ulcer (Men=104, Women=79)","Gynaecological","Vulva/Vagina","104","-","79","0.00 (0.00, 4.64)"
"Ulceration","Ulceration - Lip/oral cavity/tongue ulcer (Men=104, Women=79)","Prostate and other male organs","Penile","104","0.96 (0.17, 5.25)","79","-"
"Ulceration","Ulceration - Lip/oral cavity/tongue ulcer (Men=104, Women=79)","Prostate and other male organs","Prostate","104","0.00 (0.00, 3.56)","79","-"
"Ulceration","Ulceration - Lip/oral cavity/tongue ulcer (Men=104, Women=79)","Prostate and other male organs","Testicular","104","0.00 (0.00, 3.56)","79","-"
"Ulceration","Ulceration - Lip/oral cavity/tongue ulcer (Men=104, Women=79)","Other malignant neoplasms","Other malignant neoplasms","104","0.96 (0.17, 5.25)","79","0.00 (0.00, 4.64)"
"Ulceration","Ulceration - Lip/oral cavity/tongue ulcer (Men=104, Women=79)","Unknown primary","Unknown primary","104","0.96 (0.17, 5.25)","79","0.00 (0.00, 4.64)"
"Ulceration","Ulceration - Ulceration (Men=105, Women=68)","Head and neck","Larynx","105","0.00 (0.00, 3.53)","68","0.00 (0.00, 5.35)"
"Ulceration","Ulceration - Ulceration (Men=105, Women=68)","Head and neck","Oral cavity","105","1.90 (0.52, 6.68)","68","5.88 (2.31, 14.2)"
"Ulceration","Ulceration - Ulceration (Men=105, Women=68)","Head and neck","Oropharynx","105","0.95 (0.17, 5.20)","68","0.00 (0.00, 5.35)"
"Ulceration","Ulceration - Ulceration (Men=105, Women=68)","Head and neck","Thyroid","105","0.00 (0.00, 3.53)","68","0.00 (0.00, 5.35)"
"Ulceration","Ulceration - Ulceration (Men=105, Women=68)","Head and neck","Other head and neck","105","6.67 (3.27, 13.1)","68","7.35 (3.18, 16.1)"
"Ulceration","Ulceration - Ulceration (Men=105, Women=68)","Upper GI","Oesophagus","105","0.00 (0.00, 3.53)","68","0.00 (0.00, 5.35)"
"Ulceration","Ulceration - Ulceration (Men=105, Women=68)","Upper GI","Stomach","105","0.00 (0.00, 3.53)","68","0.00 (0.00, 5.35)"
"Ulceration","Ulceration - Ulceration (Men=105, Women=68)","Lower GI","Anal","105","2.86 (0.98, 8.07)","68","1.47 (0.26, 7.87)"
"Ulceration","Ulceration - Ulceration (Men=105, Women=68)","Lower GI","Colon","105","0.95 (0.17, 5.20)","68","0.00 (0.00, 5.35)"
"Ulceration","Ulceration - Ulceration (Men=105, Women=68)","Lower GI","Rectum","105","0.00 (0.00, 3.53)","68","0.00 (0.00, 5.35)"
